role,Intern,Junior,Lead,Manager,Mid,Senior
Data Analyst,6,5,8,0,98,100
Data Scientist,0,1,0,0,17,17
Developer,2,7,2,2,117,118
Devops,0,1,1,4,26,26
Machine Learning,0,0,1,2,10,11
Qa,1,1,6,16,66,67
